Mode,NLC,ASC,Station,Coverage,Source,Weekday (Mon-Thu) Entries,Friday Entries,Saturday Entries,Sunday Entries,Weekday (Mon-Thu) Exits,Friday Exits,Saturday Exits,Sunday Exits,Annualised En/Ex,year
LU,569,ERDu,Edgware Road (DIS),Station entry / exit,Gateline,"6,908","6,703","5,367","3,557","6,797","6,647","5,452","3,410","2,838,710","2,021"
LU,570,ELEu,Elephant & Castle LU,Station entry / exit,Gateline,"18,177","19,814","17,986","11,589","17,437","19,043","16,661","11,102","7,881,463","2,021"
LU,571,EPKu,Elm Park,Station entry / exit,Gateline,"3,649","3,389","2,134","1,438","3,553","3,233","2,082","1,499","1,406,370","2,021"
LU,542,EMBu,Embankment,Station entry / exit,Gateline,"17,860","19,044",21926.7,14530.8,"17,312","18,747",21707.8,13218.2,"8,251,813","2,021"
LU,572,EPPu,Epping,Station entry / exit,Scaled,"4,365","4,309","3,981","2,493","4,615","4,514","3,567","2,469","1,890,743","2,021"
LU,574,EUSu,Euston LU,Station entry / exit,Gateline,"32,263","37,613","38,383",29977.5,"33,743","40,080","38,966",31862.5,"15,882,123","2,021"
LU,575,ESQu,Euston Square,Station entry / exit,Gateline,"12,771","12,256","8,134",6435.6,"13,277","13,405","8,327",6644.2,"5,263,980","2,021"
LU,576,FLPu,Fairlop,Station entry / exit,Gateline,"1,323","1,300","1,061",684,"1,267","1,240","1,057",685,"541,194","2,021"
LU,577,FARu,Farringdon,Station entry / exit,Gateline,"24,124","18,817",9729.909091,5381.8,"23,455","18,537",9853.636364,4666.1,"8,497,573","2,021"
LU,578,FYCu,Finchley Central,Station entry / exit,Scaled,"8,865","8,445","6,265","3,771","8,728","8,090","5,630","4,102","3,523,038","2,021"
LU,579,FRDu,Finchley Road,Station entry / exit,Gateline,"9,442","9,941",7639.666667,5627.888889,"8,943","9,146",7089.222222,5354.222222,"3,908,195","2,021"
LU,580,FPKu,Finsbury Park,Station entry / exit,Gateline,"34,453","34,873","33,227","19,187","31,165","31,282","25,964","18,382","14,048,632","2,021"
LU,581,FBYu,Fulham Broadway,Station entry / exit,Gateline,"9,784","9,956","8,297","5,280","9,950","9,851","8,245","5,044","4,148,235","2,021"
LU,582,GHLu,Gants Hill,Station entry / exit,Gateline,7046.421053,6967.1,5212,3603,6731.473684,6503.2,4915.285714,3545.363636,"2,835,478","2,021"
LU,583,GRDu,Gloucester Road,Station entry / exit,Gateline,"15,218","16,296","14,568","11,117","15,970","17,174","16,062","11,007","6,967,643","2,021"
LU,584,GGRu,Golders Green,Station entry / exit,Gateline,"8,007","7,925","5,961","4,736","8,018","7,686","5,725","4,761","3,332,144","2,021"
LU,585,GHRu,Goldhawk Road,Station entry / exit,Gateline,"2,237","2,423","2,157","1,296","2,172","2,163","1,922","1,301","954,301","2,021"
LU,586,GSTu,Goodge Street,Station entry / exit,Gateline,"6,132","5,687","4,017","2,374","6,745","6,579","4,341","2,316","2,537,086","2,021"
LU,587,GRHu,Grange Hill,Station entry / exit,Gateline,674,590,369,213,552,481,303,189,"232,680","2,021"
LU,588,GPSu,Great Portland Street,Station entry / exit,Gateline,"6,925","6,425","3,855","2,428","7,089","6,518","3,784","2,254","2,685,637","2,021"
LU,590,GPKu,Green Park,Station entry / exit,Gateline,"35,109","32,909","27,178","19,061","41,149","40,567","34,823","23,204","15,943,763","2,021"
LU,589,GFDu,Greenford,Station entry / exit,Gateline,"5,105","4,974","3,562","2,192","5,117","4,835","3,379","2,244","2,049,869","2,021"
LU,591,GUNu,Gunnersbury,Station entry / exit,Gateline,"5,033","4,474",3419.5,2385.666667,4853.894737,4186.111111,3260.166667,2303.333333,"1,967,487","2,021"
LU,592,HAIu,Hainault,Station entry / exit,Gateline,"4,368","4,277",2921.272727,1861.272727,"4,277","4,089",2823.545455,1902.090909,"1,732,237","2,021"
LU,593,HMDu,Hammersmith (DIS),Station entry / exit,Gateline,25648.65,25179.7,21474.55556,14652.375,25675.65,24911.6,21001.55556,14451.125,"10,798,249","2,021"
LU,773,HMSu,Hammersmith (H&C),Station entry / exit,Gateline,"10,383","10,345","8,729",5646.636364,"9,703","9,592","8,120",5155.545455,"4,225,083","2,021"
LU,594,HMPu,Hampstead,Station entry / exit,Gateline,"4,536","4,747","4,027","3,252","5,090","5,277","4,411","3,720","2,111,620","2,021"
LU,595,HLNu,Hanger Lane,Station entry / exit,Gateline,"3,637","3,434","2,714","1,758","3,569","3,344","2,632",1732.4,"1,467,628","2,021"
LU,596,HARu,Harlesden,Station entry / exit,Gateline,"3,955","3,894","2,422",1467.571429,"3,924","3,763","2,331",1530.428571,"1,549,700","2,021"
LU,597,HAWu,Harrow & Wealdstone,Station entry / exit,Gateline,"5,276","5,212","3,665",2338.285714,"5,077","4,850","3,246",2247.428571,"2,079,627","2,021"
LU,598,HOHu,Harrow-on-the-Hill,Station entry / exit,Gateline,"10,958","11,310","9,094","6,041","11,602","11,770","9,350","6,375","4,761,645","2,021"
LU,779,HTXu,Hatton Cross,Station entry / exit,Gateline,"3,192","3,288","2,767","2,433","3,245","3,293","2,750","2,459","1,411,470","2,021"
LU,781,HRFu,Heathrow Terminal 4 LU,,,0,0,0,0,0,0,0,0,0,"2,021"
LU,783,HRVu,Heathrow Terminal 5 LU,Station entry / exit,Gateline,"4,678","5,602","4,881",6010.375,"3,562","4,330","3,422",4197.5,"2,027,837","2,021"
LU,780,HRCu,Heathrow Terminals 123 LU,Station entry / exit,Gateline,"5,920","6,011","5,203",6756.75,"4,738","4,622","3,984",5059.375,"2,452,747","2,021"
LU,601,HNDu,Hendon Central,Station entry / exit,Gateline,"7,449","7,118","5,211","3,847","7,056","6,519","4,539",3573.636364,"2,933,496","2,021"
LU,602,HBTu,High Barnet,Station entry / exit,Gateline,"4,504","4,527","3,383","2,169","4,392","4,252","3,173","2,212","1,826,421","2,021"
LU,605,HSTu,High Street Kensington,Station entry / exit,Gateline,"10,370","10,271",10067.71429,6738.285714,"10,238","10,267",9537,5569.714286,"4,454,568","2,021"
LU,603,HBYu,Highbury & Islington,Station entry / exit,Gateline,18218.89474,19846.3,18134.4,12114.75,19162.73684,20778.4,19139.8,13007.625,8340489.698,"2,021"
LU,604,HIGu,Highgate,Station entry / exit,Gateline,"5,673","5,759","4,907","3,215",5796.5,"5,582",4749.6,"3,442","2,428,486","2,021"
LU,606,HDNu,Hillingdon,Station entry / exit,Gateline,"1,816","1,918","1,559",951,"1,712","1,709","1,416",961,"747,141","2,021"
LU,607,HOLu,Holborn,Station entry / exit,Gateline,"26,412","24,319","20,062","12,874","28,672","27,963","21,949","13,213","11,252,228","2,021"
LU,608,HPKu,Holland Park,Station entry / exit,Gateline,"4,003","3,790",2905.375,1973.555556,"3,937","3,650",2916.75,2010,"1,618,471","2,021"
LU,609,HRDu,Holloway Road,Station entry / exit,Gateline,"7,013","7,092","5,161","3,671","6,997","6,750","4,830","3,748","2,882,905","2,021"
LU,610,HCHu,Hornchurch,Station entry / exit,Gateline,"2,410","2,210","1,413",860,"2,396","2,216","1,486",897,"934,752","2,021"
LU,611,HNCu,Hounslow Central,Station entry / exit,Gateline,"3,593","3,599","2,904",2179.888889,"3,590","3,541","2,864","2,195","1,519,626","2,021"
LU,612,HNEu,Hounslow East,Station entry / exit,Gateline,4019.25,4052.5,3486.285714,2668,4244.8,4176.2,3516.428571,2755.111111,"1,773,818","2,021"
LU,613,HNWu,Hounslow West,Station entry / exit,Gateline,"3,513","3,552","3,205","2,535","3,557","3,517","3,174","2,689","1,550,628","2,021"
LU,614,HPCu,Hyde Park Corner,Station entry / exit,Gateline,"4,174","4,205","3,913",3307.25,"4,291","4,281","4,250","3,217","1,883,530","2,021"
LU,615,ICKu,Ickenham,Station entry / exit,Gateline,"1,193","1,196",888,450,"1,179","1,193",859,486,"480,785","2,021"
LU,616,KENu,Kennington,Station entry / exit,Gateline,"5,577","6,059",5725,4020.4,"5,412","5,620",5647.625,4257.5,"2,486,398","2,021"
LU,617,KGNu,Kensal Green,Station entry / exit,Gateline,"2,613","2,693","2,175",1385,"2,490","2,366","1,906",1411.777778,"1,068,362","2,021"
LU,618,OLYu,Kensington (Olympia),LU boarding / alighting,Scaled,20,20,220,261,31,31,139,168,"34,499","2,021"
LU,619,KTNu,Kentish Town,LU boarding / alighting,Manual Count,"9,221","9,046","7,271",4733.6,"8,685","8,371","6,512",4742.2,"3,708,705","2,021"
LU,620,KETu,Kenton,Station entry / exit,Gateline,"2,370","2,247","1,632",1051.428571,"2,352","2,240","1,612","1,079","949,500","2,021"
LU,621,KEWu,Kew Gardens,Station entry / exit,Gateline,4624.75,4844.636364,5346,4154.333333,4533.3,4709.909091,5225.375,4075,"2,146,236","2,021"
LU,622,KILu,Kilburn,Station entry / exit,Gateline,"7,693","8,100","7,042","5,063","7,466","7,493","6,507","5,008","3,297,471","2,021"
LU,623,KPKu,Kilburn Park,Station entry / exit,Gateline,"3,215","3,519",3111.6,2049.625,"3,049","3,145",2761.5,1998.75,"1,375,207","2,021"
LU,625,KXXu,King's Cross St. Pancras,Station entry / exit,Gateline,76546.65,86808,89500.90909,69804,77255.9,90424.45455,89126.09091,71424.63636,"36,734,085","2,021"
LU,624,KBYu,Kingsbury,Station entry / exit,Gateline,"5,130","4,990","3,580","2,464","5,066","4,891","3,458","2,448","2,067,899","2,021"
LU,626,KNBu,Knightsbridge,Station entry / exit,Gateline,"16,492","17,025",18733.125,12581,"16,202","16,842",17698.75,12027.71429,"7,453,212","2,021"
LU,627,LGRu,Ladbroke Grove,Station entry / exit,Gateline,"5,830","6,396","6,736","3,705","5,891","6,310","6,554","3,611","2,648,507","2,021"
LU,628,LAMu,Lambeth North,Station entry / exit,Gateline,"2,901","3,115","3,178","2,362","2,764","2,868","2,826","1,944","1,286,347","2,021"
LU,629,LANu,Lancaster Gate,Station entry / exit,Gateline,"5,950","6,189",6080.666667,4794.555556,"5,907","6,153",5717.666667,4427.444444,"2,668,131","2,021"
LU,630,LATu,Latimer Road,Station entry / exit,Gateline,"2,752","2,534","1,787","1,305","2,634","2,394","1,687","1,305","1,075,229","2,021"
LU,631,LSQu,Leicester Square,Station entry / exit,Gateline,"30,645","37,786","53,557","34,717","29,355","39,845","55,778","33,253","16,345,381","2,021"
LU,632,LEYu,Leyton,Station entry / exit,Gateline,"12,617","12,724","11,669","7,559","12,007","11,616","10,757","7,459","5,293,420","2,021"
LU,633,LYSu,Leytonstone,Station entry / exit,Gateline,"10,145","10,308","8,310",5741.454545,"10,050","9,881","8,122",5834.636364,"4,259,419","2,021"
LU,634,LSTu,Liverpool Street LU,Station entry / exit,Gateline,"60,015","59,968",53936.54545,35096,"63,793","63,927",58554.81818,38634.36364,"26,596,893","2,021"
LU,635,LONu,London Bridge LU,Station entry / exit,Gateline,"70,446","73,371","73,043",47535.27273,"68,353","70,908","68,768",45522.45455,"30,857,082","2,021"
LU,636,LTNu,Loughton,Station entry / exit,Gateline,"3,829","3,760",3141.4,1899.6,"3,927","3,807",3052.8,1970.7,"1,606,879","2,021"
LU,637,MDVu,Maida Vale,Station entry / exit,Gateline,"3,465","3,594","3,043","2,023","3,271","3,199","2,657","1,961","1,433,954","2,021"
LU,638,MNRu,Manor House,Station entry / exit,Gateline,"8,227","8,896","7,947","6,056","7,965","8,122","7,208","5,820","3,593,706","2,021"
